dataset,discrete,param,delta
adult,0.8346036585365854,0.8344512195121951,-0.00015243902439021628
bank_marketing,0.8923780487804878,0.8935975609756097,0.0012195121951219523
blood_transfusion,0.7708333333333334,0.7775000000000001,0.00666666666666671
credit_g,0.755,0.759375,0.004375000000000018
diabetes,0.7491883116883117,0.7467532467532467,-0.0024350649350649567
heart_statlog,0.8379629629629629,0.8356481481481481,-0.0023148148148147696
hepatitis,0.8870967741935484,0.8790322580645161,-0.008064516129032251
ionosphere,0.9507042253521127,0.9507042253521126,-1.1102230246251565e-16
kr_vs_kp,0.919921875,0.9205078125,0.0005859375000000222
phoneme,0.8292682926829268,0.8272865853658536,-0.0019817073170731447
