dataset,seed,mode,acc,ece,f1,pipeline
hepatitis,5,discrete,0.8064516129032258,0.0882974978416197,0.5694444444444444,"impute(knn,k=5)"
hepatitis,42,discrete,0.8064516129032258,0.1084984656303159,0.69,"impute(knn,k=5)"
hepatitis,3,discrete,0.967741935483871,0.1066916565741262,0.9447415329768272,"impute(knn,k=5)"
hepatitis,4,discrete,0.8387096774193549,0.175104800731905,0.7237076648841354,"impute(knn,k=5)"
hepatitis,2,discrete,0.967741935483871,0.1241175282386041,0.9447415329768272,"impute(knn,k=5)"
hepatitis,1,discrete,0.935483870967742,0.0809959769248962,0.8807692307692307,"impute(knn,k=5)"
hepatitis,6,discrete,0.9032258064516128,0.0822642137927393,0.8342245989304813,"impute(knn,k=5)"
hepatitis,7,discrete,0.8709677419354839,0.0595729101088739,0.712962962962963,"impute(knn,k=5)"
heart_statlog,42,discrete,0.8148148148148148,0.06866971872471,0.8137931034482759,"impute(knn,k=5)"
heart_statlog,3,discrete,0.8888888888888888,0.1003997281745628,0.8863955119214586,"impute(knn,k=5)"
heart_statlog,1,discrete,0.8703703703703703,0.0896267162428962,0.8666666666666667,"impute(knn,k=5)"
heart_statlog,2,discrete,0.7962962962962963,0.0916736733030389,0.7928147889780258,"impute(knn,k=5)"
heart_statlog,4,discrete,0.8888888888888888,0.0845873433130758,0.8849431818181819,"impute(knn,k=5)"
heart_statlog,5,discrete,0.7592592592592593,0.1012542578909132,0.7523809523809524,"impute(knn,k=5)"
heart_statlog,6,discrete,0.8333333333333334,0.0728407634629143,0.8285714285714285,"impute(knn,k=5)"
heart_statlog,7,discrete,0.8518518518518519,0.0748542988741839,0.8465909090909092,"impute(knn,k=5)"
ionosphere,2,discrete,1.0,0.05396938911626037,1.0,"impute(knn,k=5)"
ionosphere,3,discrete,0.9295774647887324,0.04211972129177035,0.9204927211646137,"impute(knn,k=5)"
ionosphere,1,discrete,0.971830985915493,0.04812832617423901,0.9685283687943262,"impute(knn,k=5)"
ionosphere,42,discrete,0.971830985915493,0.054106618317080246,0.9691304347826086,"impute(knn,k=5)"
ionosphere,4,discrete,0.9014084507042254,0.06406182890206992,0.890937019969278,"impute(knn,k=5)"
ionosphere,7,discrete,0.9295774647887324,0.05524262659986257,0.9220978714066272,"impute(knn,k=5)"
ionosphere,5,discrete,0.971830985915493,0.03666665352566141,0.9685283687943262,"impute(knn,k=5)"
ionosphere,6,discrete,0.9295774647887324,0.07283001298635775,0.9220978714066272,"impute(knn,k=5)"
blood_transfusion,42,discrete,0.7666666666666667,0.0718608550230662,0.5865816206000473,"impute(knn,k=5)"
blood_transfusion,1,discrete,0.7866666666666666,0.03440884272257486,0.616,"impute(knn,k=5)"
blood_transfusion,2,discrete,0.7733333333333333,0.04693525791168213,0.5472301136363636,"impute(knn,k=5)"
blood_transfusion,3,discrete,0.7333333333333333,0.08696763237317404,0.52,"impute(knn,k=5)"
blood_transfusion,4,discrete,0.7933333333333333,0.08930779139200846,0.5792235996742376,"impute(knn,k=5)"
blood_transfusion,5,discrete,0.76,0.05906590263048807,0.5535714285714286,"impute(knn,k=5)"
blood_transfusion,6,discrete,0.7666666666666667,0.07197787801424664,0.4842322428529325,"impute(knn,k=5)"
blood_transfusion,7,discrete,0.7866666666666666,0.04937541643778483,0.5570321151716501,"impute(knn,k=5)"
diabetes,42,discrete,0.7467532467532467,0.051103482772777584,0.7097288676236044,"impute(knn,k=5)"
diabetes,1,discrete,0.7727272727272727,0.057664129641148955,0.7234621107177672,"impute(knn,k=5)"
diabetes,2,discrete,0.7532467532467533,0.02707440357703668,0.70908729369656,"impute(knn,k=5)"
diabetes,3,discrete,0.7077922077922078,0.06379845777115267,0.6534133533383346,"impute(knn,k=5)"
diabetes,4,discrete,0.7142857142857143,0.06078222510102508,0.6862962962962963,"impute(knn,k=5)"
diabetes,5,discrete,0.7142857142857143,0.06297001861906672,0.6775176089853416,"impute(knn,k=5)"
diabetes,6,discrete,0.7922077922077922,0.05716168222489296,0.7418814163000209,"impute(knn,k=5)"
diabetes,7,discrete,0.7922077922077922,0.042722053342051314,0.7630769230769231,"impute(knn,k=5)"
credit_g,42,discrete,0.755,0.06392828941345215,0.6754859432431537,"impute(knn,k=5)"
credit_g,1,discrete,0.77,0.07752793878316878,0.6649184149184149,"impute(knn,k=5)"
credit_g,2,discrete,0.75,0.02089909315109253,0.6165055990182544,"impute(knn,k=5)"
credit_g,3,discrete,0.715,0.03354995757341382,0.6065573770491803,"impute(knn,k=5)"
credit_g,4,discrete,0.745,0.05232323199510573,0.6190476190476191,"impute(knn,k=5)"
credit_g,5,discrete,0.76,0.03882961690425874,0.6559139784946237,"impute(knn,k=5)"
credit_g,6,discrete,0.75,0.03224110603332519,0.6470920383963862,"impute(knn,k=5)"
credit_g,7,discrete,0.795,0.05390337347984315,0.7083822326540774,"impute(knn,k=5)"
kr_vs_kp,1,discrete,0.9203125,0.028337800502777104,0.9199841144933185,"impute(knn,k=5)"
kr_vs_kp,3,discrete,0.8984375,0.021755471453070604,0.8982285405336641,"impute(knn,k=5)"
kr_vs_kp,42,discrete,0.9328125,0.01535867489874362,0.9327532322188257,"impute(knn,k=5)"
kr_vs_kp,2,discrete,0.9328125,0.010034778155386451,0.9328110236797196,"impute(knn,k=5)"
kr_vs_kp,5,discrete,0.93125,0.016752748377621127,0.9311181558451724,"impute(knn,k=5)"
kr_vs_kp,4,discrete,0.9203125,0.019757709000259638,0.9201907207041995,"impute(knn,k=5)"
kr_vs_kp,6,discrete,0.9203125,0.021796063520014283,0.9201000707447291,"impute(knn,k=5)"
kr_vs_kp,7,discrete,0.903125,0.025332060176879147,0.9030909304052206,"impute(knn,k=5)"
phoneme,42,discrete,0.8109756097560976,0.03365902370069088,0.7616596439708891,"impute(knn,k=5) → scale(zscore)"
phoneme,1,discrete,0.824390243902439,0.023484519923605597,0.7899590163934427,"impute(knn,k=5) → scale(zscore)"
phoneme,2,discrete,0.8475609756097561,0.01996415562746,0.8133645545603689,"impute(knn,k=5) → scale(zscore)"
phoneme,3,discrete,0.8219512195121951,0.028125985657296522,0.778256875296349,"impute(knn,k=5) → scale(zscore)"
phoneme,4,discrete,0.8280487804878048,0.03610421971576968,0.7910639259091936,"impute(knn,k=5) → scale(zscore)"
phoneme,5,discrete,0.8536585365853658,0.026450164725140834,0.8196692470091484,"impute(knn,k=5) → scale(zscore)"
phoneme,6,discrete,0.8268292682926829,0.017735638414941152,0.7961755788795608,"impute(knn,k=5) → scale(zscore)"
phoneme,7,discrete,0.8207317073170731,0.02047997451410061,0.7827133254378991,"impute(knn,k=5) → scale(zscore)"
adult,42,discrete,0.8378048780487805,0.028453902573120284,0.7589509304016675,"impute(knn,k=5)"
adult,1,discrete,0.824390243902439,0.02466178318349324,0.7191219707133274,"impute(knn,k=5)"
adult,2,discrete,0.8353658536585366,0.023272794848535082,0.7385444934919544,"impute(knn,k=5)"
adult,3,discrete,0.8341463414634146,0.01669371971269932,0.7509179762532274,"impute(knn,k=5)"
adult,4,discrete,0.8292682926829268,0.02785794480544761,0.7344436733749711,"impute(knn,k=5)"
adult,5,discrete,0.8451219512195122,0.021585396295640526,0.7698253245188854,"impute(knn,k=5)"
adult,6,discrete,0.8304878048780487,0.02749399143021284,0.7333021351272302,"impute(knn,k=5)"
adult,7,discrete,0.8402439024390244,0.019473800935396322,0.7509499929286676,"impute(knn,k=5)"
bank_marketing,42,discrete,0.8963414634146342,0.010526117246325462,0.6824181782558971,"impute(knn,k=5)"
bank_marketing,1,discrete,0.8804878048780488,0.020437687562733137,0.5787465140173198,"impute(knn,k=5)"
bank_marketing,2,discrete,0.8902439024390244,0.037263614375416865,0.601503272208903,"impute(knn,k=5)"
bank_marketing,3,discrete,0.8853658536585366,0.02992304970578451,0.6180452320072942,"impute(knn,k=5)"
bank_marketing,5,discrete,0.8878048780487805,0.022402302012210943,0.6156902699949057,"impute(knn,k=5)"
bank_marketing,4,discrete,0.8951219512195122,0.01593600969489031,0.6192142378885073,"impute(knn,k=5)"
bank_marketing,6,discrete,0.8987804878048781,0.014954692852206327,0.6694688481916945,"impute(knn,k=5)"
hepatitis,42,param,0.8387096774193549,0.18833313257463516,0.7237076648841354,"impute(knn,k=3)"
hepatitis,1,param,0.9032258064516129,0.08436635232740837,0.8050314465408805,"impute(knn,k=3)"
bank_marketing,7,discrete,0.9048780487804878,0.018456160804120533,0.7172113752122241,"impute(knn,k=5)"
hepatitis,2,param,0.9354838709677419,0.11188021590632777,0.8966666666666667,"impute(knn,k=3)"
hepatitis,3,param,0.9354838709677419,0.12287123164822977,0.8807692307692307,"impute(knn,k=3)"
hepatitis,4,param,0.8064516129032258,0.13721454335797217,0.69,"impute(knn,k=3)"
hepatitis,5,param,0.8387096774193549,0.06553605102723647,0.6750524109014675,"impute(knn,k=3)"
hepatitis,6,param,0.9032258064516129,0.08574728427394743,0.8342245989304813,"impute(knn,k=3)"
hepatitis,7,param,0.8709677419354839,0.07303152353532855,0.712962962962963,"impute(knn,k=3)"
heart_statlog,42,param,0.8333333333333334,0.09336836470497979,0.8318920788654445,"impute(knn,k=3)"
heart_statlog,1,param,0.8888888888888888,0.05922835182260587,0.8863955119214586,"impute(knn,k=3)"
heart_statlog,2,param,0.7777777777777778,0.05460223445185906,0.7727910238429172,"impute(knn,k=3)"
heart_statlog,3,param,0.8518518518518519,0.0830136846613001,0.8500000000000001,"impute(knn,k=3)"
heart_statlog,4,param,0.8888888888888888,0.09416429201761882,0.8849431818181819,"impute(knn,k=3)"
heart_statlog,5,param,0.7407407407407407,0.07224191118169712,0.7349228611500701,"impute(knn,k=3)"
heart_statlog,6,param,0.8333333333333334,0.14108574942306235,0.8304848273456574,"impute(knn,k=3)"
heart_statlog,7,param,0.8703703703703703,0.06395436547420646,0.8647584973166369,"impute(knn,k=3)"
ionosphere,42,param,0.971830985915493,0.037814468565121544,0.9691304347826086,"impute(knn,k=3)"
ionosphere,1,param,0.9577464788732394,0.027738671907236875,0.9532587228439764,"impute(knn,k=3)"
ionosphere,2,param,1.0,0.05509018058508215,1.0,"impute(knn,k=3)"
ionosphere,3,param,0.9436619718309859,0.028973644048395295,0.9356884057971014,"impute(knn,k=3)"
ionosphere,4,param,0.9014084507042254,0.04762334638917947,0.890937019969278,"impute(knn,k=3)"
ionosphere,6,param,0.9154929577464789,0.06328123975807518,0.9073913043478261,"impute(knn,k=3)"
ionosphere,5,param,0.9859154929577465,0.043018569409007765,0.9844195742813254,"impute(knn,k=3)"
ionosphere,7,param,0.9295774647887324,0.028034875090693117,0.9220978714066272,"impute(knn,k=3)"
blood_transfusion,42,param,0.78,0.07718084931373599,0.6102055279943303,"impute(knn,k=10)"
blood_transfusion,1,param,0.7933333333333333,0.0343164559205373,0.6338294353886132,"impute(knn,k=10)"
blood_transfusion,2,param,0.7666666666666667,0.06022193352381386,0.542483660130719,"impute(knn,k=7)"
blood_transfusion,3,param,0.7466666666666667,0.07143906434377033,0.544,"impute(knn,k=10)"
blood_transfusion,4,param,0.7933333333333333,0.08760406573613483,0.5947712418300654,"impute(knn,k=10)"
blood_transfusion,5,param,0.7733333333333333,0.04066396951675417,0.5472301136363636,"impute(knn,k=10)"
blood_transfusion,6,param,0.7666666666666667,0.06781831940015158,0.4842322428529325,"impute(knn,k=10)"
blood_transfusion,7,param,0.8,0.06349623640378316,0.6004971590909091,"impute(knn,k=7)"
diabetes,42,param,0.7272727272727273,0.08965944585862098,0.6857142857142857,"impute(knn,k=3)"
diabetes,1,param,0.7727272727272727,0.06274535632752752,0.7234621107177672,"impute(knn,k=3)"
diabetes,2,param,0.7792207792207793,0.06548466388281289,0.7427279874213837,"impute(knn,k=3)"
diabetes,3,param,0.7077922077922078,0.06627125283340358,0.6575240919199407,"impute(knn,k=3)"
diabetes,4,param,0.7142857142857143,0.05736044629827722,0.6888888888888889,"impute(knn,k=3)"
diabetes,5,param,0.7142857142857143,0.06780021724762855,0.6775176089853416,"impute(knn,k=3)"
