dataset,seed,pipe,M1_nll,M2_mmd,M3_marg_w1,M4_c2st,acc,f1,ece
adult,42,mean,0.3435470759868622,0.009352158529278,0.423661522946387,0.4805641154847504,0.8290598290598291,0.7294172062904718,0.0340418222477439
adult,42,mean+zscore,0.3435386419296264,0.0093521586124157,0.4236615233513414,0.4805641154847504,0.8315018315018315,0.7345256215119229,0.029235620929499
adult,42,mean+winsor,0.3619834780693054,0.0139020481464414,0.4084850412471118,0.479429583214687,0.818070818070818,0.7071806500377928,0.031261277650011
adult,42,mean+winsor+zscore,0.3611610531806946,0.0139020481464414,0.4084850412471118,0.479429583214687,0.8192918192918193,0.708439971520388,0.0302374614027393
adult,42,mean+winsor+yeojohnson,0.3591985404491424,0.0132982841284616,0.3997567898259554,0.4801511517018232,0.8192918192918193,0.708439971520388,0.0308984117775755
adult,42,mean+winsor+yeojohnson+zscore,0.3589091002941131,0.0132982841283779,0.3997567898257109,0.4801511517018232,0.818070818070818,0.7071806500377928,0.0316768220201662
adult,42,mean+quantile,0.3462455570697784,0.0036461282658429,0.3592642848761547,0.4766784791204816,0.8229548229548229,0.7150415721844293,0.0419602792196075
adult,42,mean+quantile+zscore,0.3478412926197052,0.0036461281931867,0.3592642832382514,0.4766784791204816,0.8241758241758241,0.7176889637871273,0.0364593430462046
adult,42,mean+winsor+quantile,0.3649746477603912,0.0165712536584199,0.4720634691012479,0.4806863646912487,0.8168498168498168,0.7073327615780446,0.0232392504392817
adult,42,mean+winsor+quantile+zscore,0.3651714026927948,0.0165712536584199,0.4720634691012479,0.4806863646912487,0.8131868131868132,0.6993197278911565,0.0320246026047274
adult,42,median,0.3463866710662842,0.0095833491405639,0.4531500165832525,0.478935119960761,0.833943833943834,0.7346483704974272,0.0252371782639378
adult,42,median+zscore,0.3458763062953949,0.0095833490403679,0.4531500167310499,0.478935119960761,0.833943833943834,0.7346483704974272,0.0216645280374566
adult,42,median+winsor,0.3655351996421814,0.0345348077004271,0.4744295811000621,0.4769930472006174,0.8266178266178266,0.7229416809605489,0.0342134900291032
adult,42,median+winsor+zscore,0.3644665479660034,0.034534807700427,0.4744295811000621,0.4769930472006174,0.8253968253968254,0.7203222871498267,0.0328378306931482
adult,42,median+winsor+yeojohnson,0.3646840155124664,0.0340525843327366,0.4682276217031029,0.477555592329707,0.8241758241758241,0.7176889637871273,0.0305932303196926
adult,42,median+winsor+yeojohnson+zscore,0.3648070096969604,0.0340525843327369,0.468227621703103,0.477555592329707,0.8278388278388278,0.7255472821863242,0.0322531999540271
adult,42,median+quantile,0.3572374880313873,0.0077649810339543,0.4505210421020479,0.4770169007043245,0.8363858363858364,0.7468910865514125,0.0201585267344091
adult,42,median+quantile+zscore,0.3580979108810425,0.0077649805692412,0.4505210434910811,0.4770169007043245,0.8315018315018315,0.7381567973311092,0.0165365411830617
adult,42,median+winsor+quantile,0.3691111207008362,0.0425624341758442,0.5347130398965747,0.477598826805176,0.8229548229548229,0.7136536258966786,0.0288561536715581
adult,42,median+winsor+quantile+zscore,0.3688840270042419,0.0425624341758442,0.5347130398965747,0.477598826805176,0.8205128205128205,0.7124991343428289,0.0312402824779133
adult,42,knn,0.3683836758136749,0.0076066889811513,0.403411165311161,0.4822085163965506,0.8217338217338217,0.7151372212692968,0.0268151220093425
adult,42,knn+zscore,0.367020308971405,0.0076066893796755,0.4034111667265229,0.4822085163965506,0.8156288156288156,0.7032501889644747,0.0332294945606236
adult,42,knn+winsor,0.3819172382354736,0.0222521162348721,0.413398948236615,0.4783531938599093,0.8083028083028083,0.6868877249117885,0.030370048623673
