col;num;pattern
PassengerId;0;'^\d{1,3}$'
Survived;0;'^\d{1,3}$'
Survived;1;'^\d$'
Pclass;0;'^\d{1,3}$'
Pclass;1;'^\d$'
Pclass;2;'^\d$'
Name;0;'^\d{1,3}$'
Name;1;'^\d$'
Name;2;'^\d$'
Name;3;"'^[A-Za-z]+\, [A-Z][a-z]+\. [A-Z][a-z]+$^Daly\, Mr\. Peter Denis $^[A-Za-z]+\, [A-Z][a-z]+\. [A-Z][a-z]+ [A-Za-z]+$^[A-Z][a-z]+\, Mrs\. \([A-Z][a-z]+\)$^Widegren\, Mr\. Carl\/Charles Peter$^[A-Za-z]+ [A-Z][a-z]+\, [A-Z][a-z]{1,3}\. [A-Z][a-z]+$^[A-Za-z]+[\'\-][A-Z][a-z]+\, [A-Z][a-z]+\. [A-Z][a-z]+$^Andersen\-Jensen\, Miss\. Carla Christine Nielsine$^[A-Z][a-z]+\, [A-Z][a-z]+\. [A-Z][a-z]+ [A-Za-z]+ [A-Za-z]+$^[A-Za-z]+\, [A-Z][a-z]{1,3}\. [A-Z][a-z]+ [\""\(]{1,2}[A-Z][a-z]+[\""\)]{1,2}$^[A-Za-z]+[\'\-][A-Z][a-z]+\, [A-Z][a-z]{1,3}\. [A-Z][a-z]+ [A-Za-z]+$^[A-Z][a-z]{2,4} [a-z]{1,3} [A-Za-z]{4,6}\, [A-Z][a-z]{1,3}\. [A-Z][a-z]{5,7}$^Hewlett\, Mrs\. \(Mary D Kingcome\) $^[A-Za-z]+ [A-Z][a-z]+\, [A-Z][a-z]{1,3}\. [A-Z][a-z]+ [A-Z][a-z]+$^[A-Z][a-z]+\, [A-Z][a-z]{2,3}\. \([A-Z][a-z]+ [A-Z][a-z]{4,5}\)$^de Messemaeker\, Mrs\. Guillaume Joseph \(Emma\)$^Arnold\-Franchi\, Mrs\. Josef \(Josefine Franchi\)$^Penasco y Castellana\, Mr\. Victor de Satode$^Goldsmith\, Master\. Frank John William \""Frankie\""$^[A-Z][a-z]+\, Mrs\. \([A-Z][a-z]+ [A-Za-z]+ [A-Z][a-z]+\)$^O\'[A-Z][a-z]{4}\, Miss\. [A-Z][a-z]{4,5} \""[A-Z][a-z]{4,5}\""$^Rothschild\, Mrs\. Martin \(Elizabeth L\. Barrett\)$^[A-Z][a-z]+\, [A-Z][a-z]+\. [A-Z][a-z]+ [A-Za-z]+ [\""\(]{1,2}[A-Z][a-z]+[\""\)]{1,2}$^Duff Gordon\, Sir\. Cosmo Edmund \(\""Mr Morgan\""\)$^Vander Planke\, Mrs\. Julius \(Emelia Maria Vandemoortele\)$^Laroche\, Mrs\. Joseph \(Juliette Marie Louise Lafargue\)$^[A-Z][a-z]+\, [A-Z][a-z]{1,3}\. [A-Z][a-z]+ [\""\(]{1,2}[A-Z][a-z]+ [A-Z][a-z]+[\""\)]{1,2}$^[A-Z][a-z]+\, [A-Z][a-z]+\. [A-Z][a-z]+ [A-Za-z]+ [\""\(]{1,2}[A-Z][a-z]+ [A-Za-z]+[\""\)]{1,2}$^O\'Brien\, Mrs\. Thomas \(Johanna \""Hannah\"" Godfrey\)$^Van Impe\, Mrs\. Jean Baptiste \(Rosalie Paula Govaert\)$^Watt\, Mrs\. James \(Elizabeth \""Bessie\"" Inglis Milne\)$^[A-Z][a-z]{5,6}\, [A-Z][a-z]{1,3}\. [A-Z][a-z]+ [A-Z][a-z]{4,6} [A-Z][a-z]+ [A-Z][a-z]+$^[A-Z][a-z]+\, [A-Z][a-z]{1,2}\. [A-Z][a-z]+ [\""\(]{1,2}[A-Z][a-z]+ [A-Za-z]+ [A-Z][a-z]+[\""\)]{1,2}$^[A-Z][a-z]+\, [A-Z][a-z]{1,3}\. [A-Z][a-z]+ [A-Za-z]+ [\""\(]{1,2}[A-Z][a-z]+ [A-Za-z]+ [A-Za-z]+[\""\)]{1,2}$^Duff Gordon\, Lady\. \(Lucille Christiana Sutherland\) \(\""Mrs Morgan\""\)$^Angle\, Mrs\. William A \(Florence \""Mary\"" Agnes Hughes\)$^Rothes\, the Countess\. of \(Lucy Noel Martha Dyer\-Edwards\)$^Phillips\, Miss\. Kate Florence \(\""Mrs Kate Louise Phillips Marshall\""\)$^[A-Z][a-z]{4,6}\, Mrs\. [A-Z][a-z]{5,6} [A-Za-z]+ [A-Za-z]+ \([A-Z][a-z]+ [A-Z][a-z]+ [A-Z][a-z]+\)$^[A-Z][a-z]{5,6}\, Mrs\. [A-Z][a-z]{3,4} [A-Z][a-z]{4,6} \([A-Z][a-z]{3,4} [A-Z][a-z]{5,6} [A-Z][a-z]{4,5} [A-Z][a-z]{6,8}\)$^Penasco y Castellana\, Mrs\. Victor de Satode \(Maria Josefa Perez de Soto y Vallejo\)$'"
