col;num;pattern
Id;0;'^\d+$'
MSSubClass;0;'^\d+$'
MSSubClass;1;'^\d{2,3}$'
MSZoning;0;'^\d+$'
MSZoning;1;'^\d{2,3}$'
MSZoning;2;'^[A-Z]{2}$^C \(all\)$'
LotFrontage;0;'^\d+$'
LotFrontage;1;'^\d{2,3}$'
LotFrontage;2;'^[A-Z]{2}$^C \(all\)$'
LotFrontage;3;'^nan$^\d{2,3}\.0$'
LotArea;0;'^\d+$'
LotArea;1;'^\d{2,3}$'
LotArea;2;'^[A-Z]{2}$^C \(all\)$'
LotArea;3;'^nan$^\d{2,3}\.0$'
LotArea;4;'^\d{4,6}$'
Street;0;'^\d+$'
Street;1;'^\d{2,3}$'
Street;2;'^[A-Z]{2}$^C \(all\)$'
Street;3;'^nan$^\d{2,3}\.0$'
Street;4;'^\d{4,6}$'
Street;5;'^[A-Z][a-z]{3}$'
Alley;0;'^\d+$'
Alley;1;'^\d{2,3}$'
Alley;2;'^[A-Z]{2}$^C \(all\)$'
Alley;3;'^nan$^\d{2,3}\.0$'
Alley;4;'^\d{4,6}$'
Alley;5;'^[A-Z][a-z]{3}$'
Alley;6;'^[A-Za-z]{3,4}$'
LotShape;0;'^\d+$'
LotShape;1;'^\d{2,3}$'
LotShape;2;'^[A-Z]{2}$^C \(all\)$'
LotShape;3;'^nan$^\d{2,3}\.0$'
LotShape;4;'^\d{4,6}$'
LotShape;5;'^[A-Z][a-z]{3}$'
LotShape;6;'^[A-Za-z]{3,4}$'
LotShape;7;'^[A-Za-z0-9]{3}$'
LandContour;0;'^\d+$'
LandContour;1;'^\d{2,3}$'
LandContour;2;'^[A-Z]{2}$^C \(all\)$'
LandContour;3;'^nan$^\d{2,3}\.0$'
LandContour;4;'^\d{4,6}$'
LandContour;5;'^[A-Z][a-z]{3}$'
LandContour;6;'^[A-Za-z]{3,4}$'
LandContour;7;'^[A-Za-z0-9]{3}$'
LandContour;8;'^[A-Za-z]{3}$'
Utilities;0;'^\d+$'
Utilities;1;'^\d{2,3}$'
Utilities;2;'^[A-Z]{2}$^C \(all\)$'
Utilities;3;'^nan$^\d{2,3}\.0$'
Utilities;4;'^\d{4,6}$'
Utilities;5;'^[A-Z][a-z]{3}$'
Utilities;6;'^[A-Za-z]{3,4}$'
Utilities;7;'^[A-Za-z0-9]{3}$'
Utilities;8;'^[A-Za-z]{3}$'
Utilities;9;'^[A-Za-z]{6}$'
LotConfig;0;'^\d+$'
LotConfig;1;'^\d{2,3}$'
LotConfig;2;'^[A-Z]{2}$^C \(all\)$'
LotConfig;3;'^nan$^\d{2,3}\.0$'
LotConfig;4;'^\d{4,6}$'
LotConfig;5;'^[A-Z][a-z]{3}$'
LotConfig;6;'^[A-Za-z]{3,4}$'
LotConfig;7;'^[A-Za-z0-9]{3}$'
LotConfig;8;'^[A-Za-z]{3}$'
LotConfig;9;'^[A-Za-z]{6}$'
LotConfig;10;'^[A-Za-z0-9]+$'
LandSlope;0;'^\d+$'
LandSlope;1;'^\d{2,3}$'
LandSlope;2;'^[A-Z]{2}$^C \(all\)$'
LandSlope;3;'^nan$^\d{2,3}\.0$'
LandSlope;4;'^\d{4,6}$'
LandSlope;5;'^[A-Z][a-z]{3}$'
LandSlope;6;'^[A-Za-z]{3,4}$'
LandSlope;7;'^[A-Za-z0-9]{3}$'
LandSlope;8;'^[A-Za-z]{3}$'
